Place,Attraction,Travel_Theme,Opening_Time,Closing_Time,Visit_Duration,Description & Backstory,Top Highlights & Unique Features,Events & Experiences,Top Things To Do
Munnar,Attukal Waterfalls,,,,,,,,
Munnar,Top Station,,,,,,,,
Munnar,Tea Museum,,,,,,,,
Munnar,Pothamedu Viewpoint,,,,,,,,
Munnar,Chinnar Wildlife Sanctuary,,,,,,,,
Alleppey (Alappuzha),Alleppey Backwaters,,,,,,,,
Alleppey (Alappuzha),Houseboats,,,,,,,,
Alleppey (Alappuzha),Alappuzha Beach,,,,,,,,
Alleppey (Alappuzha),Marari Beach,,,,,,,,
Alleppey (Alappuzha),Pathiramanal Island,,,,,,,,
Alleppey (Alappuzha),Ambalapuzha Sri Krishna Temple,,,,,,,,
Alleppey (Alappuzha),St. Mary’s Forane Church,,,,,,,,
Alleppey (Alappuzha),Revi Karunakaran Museum,,,,,,,,
Kochi (Cochin),Fort Kochi,,,,,,,,
Kochi (Cochin),Chinese Fishing Nets,,,,,,,,
Kochi (Cochin),Mattancherry Palace,,,,,,,,
Kochi (Cochin),Jew Town,,,,,,,,
Kochi (Cochin),Paradesi Synagogue,,,,,,,,
Kochi (Cochin),Marine Drive,,,,,,,,
Kochi (Cochin),Bolgatty Palace,,,,,,,,
Kochi (Cochin),Kerala Kathakali Centre,,,,,,,,
Kochi (Cochin),St. Francis Church,,,,,,,,
Kochi (Cochin),Hill Palace Museum,,,,,,,,
Kumarakom,Kumarakom Bird Sanctuary,,,,,,,,
Kumarakom,Vembanad Lake,,,,,,,,
Kumarakom,Aruvikkuzhi Waterfalls,,,,,,,,
Kumarakom,Bay Island Driftwood Museum,,,,,,,,
Kumarakom,Pathiramanal Island,,,,,,,,
Thekkady,Periyar Wildlife Sanctuary,,,,,,,,
Thekkady,Periyar Lake (boating),,,,,,,,
Thekkady,Mangala Devi Temple,,,,,,,,
Thekkady,Spice Plantations,,,,,,,,
Thekkady,Kadathanadan Kalari Centre,,,,,,,,
Wayanad,Edakkal Caves,,,,,,,,
Wayanad,Banasura Sagar Dam,,,,,,,,
Wayanad,Pookode Lake,,,,,,,,
Wayanad,Soochipara Falls,,,,,,,,
Wayanad,Meenmutty Falls,,,,,,,,
Wayanad,Chembra Peak,,,,,,,,
Wayanad,Wayanad Wildlife Sanctuary,,,,,,,,
Wayanad,Kuruva Island,,,,,,,,
Wayanad,Thirunelli Temple,,,,,,,,
Kovalam,Lighthouse Beach,,,,,,,,
Kovalam,Hawah Beach,,,,,,,,
Kovalam,Samudra Beach,,,,,,,,
Kovalam,Kovalam Lighthouse,,,,,,,,
Kovalam,Ayurvedic massage centres,,,,,,,,
Trivandrum (Thiruvananthapuram),Padmanabhaswamy Temple,,,,,,,,
Trivandrum (Thiruvananthapuram),Napier Museum,,,,,,,,
Trivandrum (Thiruvananthapuram),Zoological Park,,,,,,,,
Trivandrum (Thiruvananthapuram),Kanakakunnu Palace,,,,,,,,
Trivandrum (Thiruvananthapuram),Veli Tourist Village,,,,,,,,
Trivandrum (Thiruvananthapuram),Shankumugham Beach,,,,,,,,
Trivandrum (Thiruvananthapuram),Poovar Island,,,,,,,,
Trivandrum (Thiruvananthapuram),Vizhinjam Lighthouse,,,,,,,,
Varkala,Varkala Beach (Papanasam),,,,,,,,
Varkala,Janardhana Swamy Temple,,,,,,,,
Varkala,Varkala Cliff,,,,,,,,
Varkala,Sivagiri Mutt,,,,,,,,
Varkala,Anchuthengu Fort,,,,,,,,
Thrissur,Vadakkunnathan Temple,,,,,,,,
Thrissur,Shakthan Thampuran Palace,,,,,,,,
Thrissur,Athirapally Falls,,,,,,,,
Thrissur,Vazhachal Falls,,,,,,,,
Thrissur,Kerala Kalamandalam,,,,,,,,
Thrissur,Thrissur Zoo,,,,,,,,
Thrissur,Guruvayur Temple,,,,,,,,
Chennai,Marina Beach,,,,,,,,
Chennai,Kapaleeshwarar Temple,,,,,,,,
Chennai,Fort St. George,,,,,,,,
Chennai,Santhome Cathedral Basilica,,,,,,,,
Chennai,Government Museum,,,,,,,,
Chennai,Edward Elliot’s Beach,,,,,,,,
Chennai,Arignar Anna Zoological Park,,,,,,,,
Chennai,Valluvar Kottam,,,,,,,,
Chennai,Guindy National Park,,,,,,,,
Mahabalipuram,Shore Temple,,,,,,,,
Mahabalipuram,Pancha Rathas,,,,,,,,
Mahabalipuram,Arjuna’s Penance,,,,,,,,
Mahabalipuram,Krishna’s Butterball,,,,,,,,
Mahabalipuram,Cave Temples,,,,,,,,
Mahabalipuram,Mahabalipuram Beach,,,,,,,,
Mahabalipuram,Lighthouse,,,,,,,,
Kanchipuram,Ekambareswarar Temple,,,,,,,,
Kanchipuram,Kailasanathar Temple,,,,,,,,
Kanchipuram,Kamakshi Amman Temple,,,,,,,,
Kanchipuram,Varadharaja Perumal Temple,,,,,,,,
Kanchipuram,Devarajaswami Temple,,,,,,,,
Kanchipuram,Silk Weaving Centres,,,,,,,,
Madurai,Meenakshi Amman Temple,,,,,,,,
Madurai,Thirumalai Nayakkar Mahal,,,,,,,,
Madurai,Gandhi Memorial Museum,,,,,,,,
Madurai,Koodal Azhagar Temple,,,,,,,,
Madurai,Alagar Kovil,,,,,,,,
Madurai,Pazhamudhircholai Murugan Temple,,,,,,,,
Madurai,Mariamman Teppakulam,,,,,,,,
Rameswaram,Ramanathaswamy Temple,,,,,,,,
Rameswaram,Agni Theertham,,,,,,,,
Rameswaram,Dhanushkodi Beach,,,,,,,,
Rameswaram,Pamban Bridge,,,,,,,,
Rameswaram,Gandhamadhana Parvatham,,,,,,,,
Rameswaram,APJ Abdul Kalam Memorial,,,,,,,,
Kanyakumari,Vivekananda Rock Memorial,,,,,,,,
Kanyakumari,Thiruvalluvar Statue,,,,,,,,
Kanyakumari,Kanyakumari Beach,,,,,,,,
Kanyakumari,Bhagavathy Amman Temple,,,,,,,,
Kanyakumari,Gandhi Memorial,,,,,,,,
Kanyakumari,Suchindram Temple,,,,,,,,
Kanyakumari,Padmanabhapuram Palace,,,,,,,,
Ooty,Ooty Lake,,,,,,,,
Ooty,Botanical Gardens,,,,,,,,
Ooty,Rose Garden,,,,,,,,
Ooty,Doddabetta Peak,,,,,,,,
Ooty,Avalanche Lake,,,,,,,,
Ooty,Emerald Lake,,,,,,,,
Ooty,Nilgiri Mountain Railway,,,,,,,,
Ooty,Tea Museum,,,,,,,,
Ooty,Pykara Lake,,,,,,,,
Ooty,Pykara Falls,,,,,,,,
Ooty,St. Stephen’s Church,,,,,,,,
Kodaikanal,Kodaikanal Lake,,,,,,,,
Kodaikanal,Coaker’s Walk,,,,,,,,
Kodaikanal,Bryant Park,,,,,,,,
Kodaikanal,Pillar Rocks,,,,,,,,
Kodaikanal,Silver Cascade Falls,,,,,,,,
Kodaikanal,Kurinji Andavar Temple,,,,,,,,
Kodaikanal,Dolphin’s Nose,,,,,,,,
Kodaikanal,Berijam Lake,,,,,,,,
Thanjavur,rihadeeswarar Temple (Big Temple),,,,,,,,
Thanjavur,Thanjavur Palace,,,,,,,,
Thanjavur,Saraswathi Mahal Library,,,,,,,,
Thanjavur,Schwartz Church,,,,,,,,
Thanjavur,Art Gallery,,,,,,,,
Thanjavur,Gangaikonda Cholapuram,,,,,,,,
Tiruchirapalli (Trichy),Rockfort Temple,,,,,,,,
Tiruchirapalli (Trichy),Sri Ranganathaswamy Temple (Srirangam),,,,,,,,
Tiruchirapalli (Trichy),Jambukeswarar Temple,,,,,,,,
Tiruchirapalli (Trichy),Kallanai Dam,,,,,,,,
Tiruchirapalli (Trichy),St. Lourdes Church,,,,,,,,
Coimbatore,Marudamalai Temple,,,,,,,,
Coimbatore,Dhyanalinga Temple,,,,,,,,
Coimbatore,Adiyogi Shiva Statue,,,,,,,,
Coimbatore,Perur Pateeswarar Temple,,,,,,,,
Coimbatore,VOC Park & Zoo,,,,,,,,
Coimbatore,Black Thunder Theme Park,,,,,,,,
Yercaud,Yercaud Lake,,,,,,,,
Yercaud,Pagoda Point,,,,,,,,
Yercaud,Lady’s Seat,,,,,,,,
Yercaud,Kiliyur Falls,,,,,,,,
Yercaud,Shevaroy Temple,,,,,,,,
Yercaud,Botanical Garden,,,,,,,,
Visakhapatnam (Vizag),Kailasagiri Hill Park,,,,,,,,
Visakhapatnam (Vizag),RK Beach,,,,,,,,
Visakhapatnam (Vizag),Yarada Beach,,,,,,,,
Visakhapatnam (Vizag),Rushikonda Beach,,,,,,,,
Visakhapatnam (Vizag),Araku Valley,,,,,,,,
Visakhapatnam (Vizag),Borra Caves,,,,,,,,
Visakhapatnam (Vizag),Submarine Museum (INS Kurusura),,,,,,,,
Visakhapatnam (Vizag),Simhachalam Temple,,,,,,,,
Visakhapatnam (Vizag),Katiki Waterfalls,,,,,,,,
Visakhapatnam (Vizag),Indira Gandhi Zoological Park,,,,,,,,
Tirupati,Tirumala Venkateswara Temple,,,,,,,,
Tirupati,Kapila Theertham,,,,,,,,
Tirupati,Chandragiri Fort,,,,,,,,
Tirupati,Sri Padmavathi Ammavari Temple,,,,,,,,
Tirupati,Sri Govindarajaswami Temple,,,,,,,,
Tirupati,Akasaganga Teertham,,,,,,,,
Tirupati,Sila Thoranam,,,,,,,,
Amaravati,Amaravati Stupa,,,,,,,,
Amaravati,Amareswara Temple,,,,,,,,
Amaravati,Undavalli Caves,,,,,,,,
Amaravati,Kondapalli Fort,,,,,,,,
Amaravati,Bhavani Island (Krishna River),,,,,,,,
Amaravati,Prakasam Barrage,,,,,,,,
Vijayawada,Kanaka Durga Temple,,,,,,,,
Vijayawada,Undavalli Caves,,,,,,,,
Vijayawada,Prakasam Barrage,,,,,,,,
Vijayawada,Bhavani Island,,,,,,,,
Vijayawada,Victoria Jubilee Museum,,,,,,,,
Vijayawada,Gandhi Hill,,,,,,,,
Lepakshi,Veerabhadra Temple,,,,,,,,
Lepakshi,Hanging Pillar,,,,,,,,
Lepakshi,Nandi Bull Statue,,,,,,,,
Lepakshi,Lepakshi Handicrafts,,,,,,,,
Srisailam,Mallikarjuna Jyotirlinga Temple,,,,,,,,
Srisailam,Srisailam Dam,,,,,,,,
Srisailam,Akkamahadevi Caves,,,,,,,,
Srisailam,Pathala Ganga (Krishna River boating),,,,,,,,
Srisailam,Sakshi Ganapati Temple,,,,,,,,
Araku Valley,Borra Caves,,,,,,,,
Araku Valley,Coffee Plantations,,,,,,,,
Araku Valley,Tribal Museum,,,,,,,,
Araku Valley,Katiki Waterfalls,,,,,,,,
Araku Valley,Padmapuram Gardens,,,,,,,,
Araku Valley,Chaparai Waterfalls,,,,,,,,
Nagarjuna Sagar,Nagarjuna Sagar Dam,,,,,,,,
Nagarjuna Sagar,Nagarjuna Konda Museum & Island,,,,,,,,
Nagarjuna Sagar,Ethipothala Waterfalls,,,,,,,,
Kurnool,Belum Caves,,,,,,,,
Kurnool,Oravakallu Rock Garden,,,,,,,,
Kurnool,Konda Reddy Fort,,,,,,,,
Kurnool,Rollapadu Wildlife Sanctuary,,,,,,,,
Kurnool,Yaganti Temple,,,,,,,,
Anantapur,Lepakshi,,,,,,,,
Anantapur,Penukonda Fort,,,,,,,,
Anantapur,Dharmavaram Silk Weaving,,,,,,,,
Anantapur,ISKCON Temple,,,,,,,,
Rajahmundry,Godavari Bridge,,,,,,,,
Rajahmundry,Dowleswaram Barrage,,,,,,,,
Rajahmundry,ISKCON Temple,,,,,,,,
Rajahmundry,Papikondalu boat cruise,,,,,,,,
Rajahmundry,Kotilingeshwara Temple,,,,,,,,
